Timestamp,AccX,AccY,AccZ
760370996,3324,3332,14904
760372896,1717,723,15596
760374792,-193,-1079,17347
760376700,-4189,-247,18362
760378600,178,-133,14043
760380480,4198,72,15487
760382364,3097,125,14965
760384268,-2044,-2606,15884
760386172,61,-1309,14860
760388052,-1589,27,13880
760389956,2677,1689,12153
760391840,8,3804,14668
760393740,-1364,3264,19924
760395644,-2471,133,17940
760397548,491,-1536,13568
760399456,-376,-2796,18619
760401372,1084,-1826,14860
760403284,-372,-2054,20080
760405184,588,-414,18423
760407084,2224,-1036,15088
760408988,1690,-850,14343
760410892,-2855,-211,16532
760412808,-946,2416,19524
760414720,2508,3266,18184
760416628,1006,2079,17147
760418528,1609,91,12591
760420436,-2821,-2617,19940
760422360,-1764,-2098,19328
760424264,-705,-284,15859
760426160,5310,236,16675
760428040,424,126,16715
760429936,3524,-330,15832
760431844,-1337,163,16528
760433760,-1507,1852,15292
760435668,-305,2049,14785
760437564,839,2967,11564
760439456,-433,1633,21046
760441336,-6,-1206,16918
760443236,-704,-3195,18760
760445164,1659,-3601,13018
760447068,877,-3649,16643
760448976,-563,-1919,17247
760450884,1072,708,18288
760452772,2230,715,13652
760454664,2846,378,14004
760456548,-1359,99,19143
760458464,-2490,1236,16788
760460384,-1330,1908,17611
760462300,2167,1481,16203
760464212,-1946,-1132,14813
760466124,158,-2404,16252
760468040,-3897,-2753,16768
760469944,-163,-222,16423
760471856,2873,1269,15337
760473776,4361,1623,16104
760475688,1864,1692,16583
760477572,367,715,12427
760479464,-1338,921,16748
760481364,1441,951,13220
760483260,-1427,803,22492
760485164,-1348,420,17663
760487084,1010,-1860,18251
760489004,1084,-3614,20060
760490920,-1872,-3528,18716
760492848,-1957,-2475,20248
760494760,1105,-597,17228
760496672,1955,1438,17100
760498580,4142,2382,17095
760500484,758,1558,17072
760502368,-427,351,16179
760504264,-4628,-728,16683
760506172,-1182,-166,14449
760508044,2,-444,17412
760509936,455,-1563,14983
760511836,-813,-2039,16753
760513752,-503,-1395,15052
760515648,-693,-594,17540
760517552,4261,1064,9518
760519460,1523,1415,16099
760521356,506,2510,13127
760523252,620,2110,14712
760525116,-92,732,16156
760527012,-666,-442,14573
760528916,-513,-1653,17371
760530820,-871,-1621,19627
760532740,-2172,-1546,17457
760534660,3126,-2570,12107
760536568,-724,-2014,19299
760538480,1716,-652,13940
760540380,-695,-241,17868
760542292,1287,1815,11979
760544208,2391,2575,14147
760546116,1798,1996,11340
760548020,-2194,-280,14372
760549940,-3002,-1706,14696
760551864,-1083,-2509,18608
760553776,938,-1058,14787
760555696,2131,-1073,14024
760557600,-736,-368,20635
760559484,-278,166,13723
760561368,135,778,14144
760563260,1776,719,11775
760565164,1036,2498,17491
760567068,-699,2675,15811
760568976,-481,2011,19364
760570860,1263,-171,9944
760572768,-1076,-3036,14123
760574684,-424,-3320,17149
760576608,-1647,-2259,22663
760578516,2477,257,20944
760580404,2768,342,16696
760582300,5449,-245,15632
760584184,453,-181,18493
760586056,62,-496,14147
760587952,-278,1624,17018
760589848,257,2808,12915
760591740,588,1340,17956
760593656,-3672,-1346,17403
760595580,-3611,-3883,20799
760597500,-3270,-3422,15740
760599420,-534,-1083,18052
760601336,1017,1065,17195
760603248,3176,1800,17616
760605160,1178,1272,14624
760607056,2463,-185,13404
760608964,2487,291,15056
760610876,1439,1905,15300
760612772,-407,1413,13372
760614648,-15,139,18575
760616556,-2597,-1949,18208
760618480,-1558,-3494,16716
760620408,-3435,-4039,15904
760622324,-129,-963,19183
760624236,1921,2231,18086
760626140,1895,2638,16724
760628040,2538,956,12855
760629924,954,-766,13556
760631820,-1857,-703,16340
760633724,-1682,998,13223
760635640,1471,1050,13259
760637532,844,-706,13007
760639428,-990,-3146,17267
760641352,-4476,-3726,16031
760643280,-1493,-1968,17791
760645192,2325,985,18460
760647096,2830,2692,16636
760649004,1232,2352,20860
760650924,4233,1265,16709
760652812,-414,-342,19647
760654708,1481,287,15648
760656588,115,519,15373
760658488,-1452,350,16823
760660404,-2610,-1224,16511
760662304,-72,-1636,13635
760664220,-1289,-1949,18743
760666136,-153,-1299,17196
760668028,-413,501,16827
760669936,1897,2881,15288
760671844,4409,2594,12804
760673748,3159,869,12612
760675656,-1748,-1262,14644
760677584,-1027,-2261,13524
760679504,-555,-1167,15400
760681404,-900,-390,14531
760683308,431,-1407,12943
760685224,-2834,-2012,20900
760687148,-1450,-2434,14576
760689052,-517,-744,17996
760690964,2689,1985,16319
760692880,1730,3084,18019
760694780,5444,2216,14511
760696668,-167,-927,16172
760698568,876,-1903,10596
760700480,-1535,-1297,16175
760702384,-601,-781,14967
760704288,-1787,-821,16207
760706212,-1137,-392,15947
760708088,-78,-281,15940
760709984,1788,-180,16323
760711876,1247,-85,17644
760713760,-87,1299,18188
760715664,2144,2366,13779
760717580,4384,1365,12829
760719484,2374,-106,14523
760721392,-1930,-2348,14788
760723320,-3777,-3549,17160
760725244,-2307,-2342,14426
760727160,537,-1537,10736
760729060,-1865,115,17888
760730972,1413,1045,17960
760732880,-1410,196,22227
760734776,3160,500,16424
760736664,2437,815,16824
760738568,4417,2079,15708
760740476,1825,1395,15900
760742388,2296,-1040,11679
760744312,-2614,-3047,14244
760746228,557,-2219,13463
760748132,-2880,-868,13864
760750032,-4243,173,15335
760751928,632,1612,17823
760753836,1591,1783,17287
760755720,313,827,16339
760757600,-494,382,17683
760759488,560,652,17012
760761384,928,2006,12396
760763268,5909,366,13811
760765160,312,-1696,15484
760767064,-438,-3476,16358
760768980,-4955,-4021,17384
760770908,-3059,-2243,16975
760772816,-1349,-58,17060
760774732,1386,2178,15719
760776632,-187,1425,23343
760778548,1966,1354,18876
760780440,-307,-171,18052
760782336,3490,176,14148
760784232,1591,365,15258
760786132,1588,-702,11940
760788032,-142,-1972,17119
760789956,-1723,-2265,12171
760791868,-766,-1716,14706
760793772,-925,-693,15503
760795680,-1552,1170,21231
760797592,-844,2102,17171
760799508,3204,2690,15475
760801412,597,2023,13976
760803296,1397,121,16454
760805192,-1446,-388,19576
760807092,1096,41,14630
760808996,2461,-1234,15725
760810920,1353,-2435,15504
760812844,-3976,-3196,16649
760814776,-1870,-1826,15712
760816692,-3239,-712,18116
760818596,1916,830,15763
760820484,989,2589,20483
760822376,-740,2772,19712
760824276,1484,488,16356
760826172,2859,-778,14864
760828076,602,-1590,18588
760829992,-1409,-1135,14589
760831904,-107,-1093,15168
760833800,-57,-1019,15052
760835712,1371,-1063,14944
760837628,-2629,-399,15340
760839540,-1202,298,15942
760841456,-2604,2024,20771
760843372,2706,2973,13324
760845280,1747,2471,19112
760847192,4120,2300,14600
760849076,670,-380,16739
760850972,-200,-1954,13835
760852884,362,-2030,14156
760854804,1463,-1521,11295
760856724,-3620,-1560,14903
760858648,-2871,-1677,16663
760860548,414,-996,15629
760862432,-876,-222,18979
760864320,67,1075,15912
760866224,-1198,1238,20443
760868144,2224,2478,18600
760870044,177,1323,16355
760871932,4937,-391,13299
